iter	Passed	Remaining
415	2748	3859
416	2754	3850
417	2759	3842
418	2765	3834
419	2770	3826
420	2776	3818
421	2782	3811
422	2788	3803
423	2794	3795
424	2799	3787
425	2805	3779
426	2810	3771
427	2816	3763
428	2821	3755
429	2827	3747
430	2833	3740
431	2839	3732
432	2844	3724
433	2850	3718
434	2857	3711
435	2864	3705
436	2870	3697
437	2875	3689
438	2881	3682
439	2886	3674
440	2892	3666
441	2897	3658
442	2903	3650
443	2909	3643
444	2915	3635
445	2920	3628
446	2926	3621
447	2932	3613
448	2938	3605
449	2944	3598
450	2949	3590
451	2955	3583
452	2960	3575
453	2966	3567
454	2972	3560
455	2977	3552
456	2983	3544
457	2989	3537
458	2994	3529
459	3000	3522
460	3006	3515
461	3012	3507
462	3018	3501
463	3025	3494
464	3030	3486
465	3036	3479
466	3042	3472
467	3048	3464
468	3053	3457
469	3059	3450
470	3065	3442
471	3070	3434
472	3076	3427
473	3081	3419
474	3087	3412
475	3093	3405
476	3100	3399
477	3105	3391
478	3111	3384
479	3116	3376
480	3122	3369
481	3128	3361
482	3134	3355
483	3140	3347
484	3145	3340
485	3151	3333
486	3157	3325
487	3163	3318
488	3170	3312
489	3175	3305
490	3181	3297
491	3186	3290
492	3192	3282
493	3197	3274
494	3202	3267
495	3208	3260
496	3213	3252
497	3219	3245
498	3225	3238
499	3231	3231
500	3236	3223
501	3242	3216
502	3248	3209
503	3254	3202
504	3260	3195
505	3266	3188
506	3272	3181
507	3277	3174
508	3283	3167
509	3289	3160
510	3295	3153
511	3300	3145
512	3306	3138
513	3311	3131
514	3317	3124
515	3322	3116
516	3328	3109
517	3333	3102
518	3339	3094
519	3344	3087
520	3350	3080
521	3356	3073
522	3362	3067
523	3368	3059
524	3374	3052
525	3379	3045
526	3385	3038
527	3390	3031
528	3396	3024
529	3401	3016
530	3407	3009
531	3413	3002
532	3418	2995
533	3424	2988
534	3429	2981
535	3435	2974
536	3441	2967
537	3446	2959
538	3452	2952
539	3457	2945
540	3463	2938
541	3468	2931
542	3474	2924
543	3480	2917
544	3485	2909
545	3491	2902
546	3496	2895
547	3502	2888
548	3507	2881
549	3514	2875
550	3520	2868
551	3525	2861
552	3531	2854
553	3536	2847
554	3542	2840
555	3548	2833
556	3554	2826
557	3560	2819
558	3565	2812
559	3571	2805
560	3576	2798
561	3582	2792
562	3588	2785
563	3593	2778
564	3599	2771
565	3604	2763
566	3610	2756
567	3615	2750
568	3622	2743
569	3627	2736
570	3633	2729
571	3639	2722
572	3644	2715
573	3650	2709
574	3656	2702
575	3661	2695
576	3667	2688
577	3673	2682
578	3679	2675
579	3684	2668
580	3690	2661
581	3697	2655
582	3703	2649
583	3709	2642
584	3714	2635
585	3720	2628
586	3725	2621
587	3731	2614
588	3737	2607
589	3743	2601
590	3749	2594
591	3755	2587
592	3760	2581
593	3766	2574
594	3772	2567
595	3778	2560
596	3783	2554
597	3789	2547
598	3794	2540
599	3800	2533
600	3805	2526
601	3811	2519
602	3817	2513
603	3822	2506
604	3828	2499
605	3834	2492
606	3840	2486
607	3845	2479
608	3851	2472
609	3856	2465
610	3862	2458
611	3867	2452
612	3873	2445
613	3879	2438
614	3884	2431
615	3890	2425
616	3896	2418
617	3901	2411
618	3907	2405
619	3914	2399
620	3920	2392
621	3926	2386
622	3932	2379
623	3937	2372
624	3943	2365
625	3948	2359
626	3954	2352
627	3960	2345
628	3965	2339
629	3971	2332
630	3977	2325
631	3982	2319
632	3988	2312
633	3994	2305
634	4000	2299
635	4005	2292
636	4010	2285
637	4016	2278
638	4021	2272
639	4027	2265
640	4033	2258
641	4038	2252
642	4044	2245
643	4050	2238
644	4055	2232
645	4061	2225
646	4066	2218
647	4072	2212
648	4078	2205
649	4083	2198
650	4089	2192
651	4094	2185
652	4100	2179
653	4106	2172
654	4111	2165
655	4117	2159
656	4123	2152
657	4129	2146
658	4134	2139
659	4140	2132
660	4145	2126
661	4151	2119
662	4157	2113
663	4163	2106
664	4169	2100
665	4175	2093
666	4180	2087
667	4186	2080
668	4192	2074
669	4198	2067
670	4203	2061
671	4210	2055
672	4216	2048
673	4222	2042
674	4227	2035
675	4233	2028
676	4238	2022
677	4244	2015
678	4249	2009
679	4255	2002
680	4260	1995
681	4266	1989
682	4272	1982
683	4278	1976
684	4283	1969
685	4288	1963
686	4294	1956
687	4299	1949
688	4304	1943
689	4311	1936
690	4316	1930
691	4322	1923
692	4327	1917
693	4333	1910
694	4339	1904
695	4344	1897
696	4349	1891
697	4355	1884
698	4360	1877
699	4366	1871
700	4371	1864
701	4377	1858
702	4382	1851
703	4388	1845
704	4393	1838
705	4399	1831
706	4404	1825
707	4409	1818
708	4415	1812
709	4420	1805
710	4425	1798
711	4431	1792
712	4436	1785
713	4442	1779
714	4447	1772
715	4453	1766
716	4458	1759
717	4464	1753
718	4469	1746
719	4474	1740
720	4480	1733
721	4485	1727
722	4491	1720
723	4496	1714
724	4502	1707
725	4507	1701
726	4512	1694
727	4517	1688
728	4523	1681
729	4528	1675
730	4534	1668
731	4539	1662
732	4545	1655
733	4550	1649
734	4556	1642
735	4562	1636
736	4567	1629
737	4572	1623
738	4578	1616
739	4583	1610
740	4588	1603
741	4594	1597
742	4599	1591
743	4605	1584
744	4610	1578
745	4616	1571
746	4621	1565
747	4627	1558
748	4632	1552
749	4638	1546
750	4643	1539
751	4649	1533
752	4655	1526
753	4660	1520
754	4665	1514
755	4671	1507
756	4676	1501
757	4681	1494
758	4687	1488
759	4692	1481
760	4698	1475
761	4704	1469
762	4709	1462
763	4715	1456
764	4721	1450
765	4727	1444
766	4732	1437
767	4738	1431
768	4743	1425
769	4749	1418
770	4754	1412
771	4760	1405
772	4766	1399
773	4771	1393
774	4777	1386
775	4782	1380
776	4789	1374
777	4794	1368
778	4799	1361
779	4805	1355
780	4810	1349
781	4816	1342
782	4822	1336
783	4827	1330
784	4833	1323
785	4839	1317
786	4844	1311
787	4849	1304
788	4855	1298
789	4860	1292
790	4866	1285
791	4871	1279
792	4877	1273
793	4882	1266
794	4888	1260
795	4893	1254
796	4899	1247
797	4904	1241
798	4910	1235
799	4915	1228
800	4921	1222
801	4926	1216
802	4932	1210
803	4937	1203
804	4943	1197
805	4948	1191
806	4953	1184
807	4959	1178
808	4965	1172
809	4970	1165
810	4976	1159
811	4981	1153
812	4987	1147
813	4992	1140
814	4998	1134
815	5003	1128
816	5009	1121
817	5014	1115
818	5020	1109
819	5025	1103
820	5030	1096
821	5036	1090
822	5041	1084
823	5047	1078
824	5052	1071
825	5058	1065
826	5063	1059
827	5069	1053
828	5074	1046
829	5080	1040
830	5086	1034
831	5092	1028
832	5097	1022
833	5103	1015
834	5108	1009
835	5114	1003
836	5119	997
837	5125	990
838	5130	984
839	5135	978
840	5141	972
841	5146	965
842	5152	959
843	5157	953
844	5163	947
845	5168	940
846	5173	934
847	5179	928
848	5184	922
849	5190	915
850	5195	909
851	5201	903
852	5206	897
853	5211	891
854	5217	884
855	5223	878
856	5228	872
857	5233	866
858	5239	859
859	5244	853
860	5250	847
861	5255	841
862	5261	835
863	5266	829
864	5272	822
865	5277	816
866	5282	810
867	5287	804
868	5293	797
869	5299	791
870	5304	785
871	5310	779
872	5316	773
873	5322	767
874	5327	761
875	5332	754
876	5338	748
877	5344	742
878	5349	736
879	5355	730
880	5360	724
881	5365	717
882	5371	711
883	5376	705
884	5381	699
885	5387	693
886	5392	687
887	5398	680
888	5404	674
889	5409	668
890	5415	662
891	5420	656
892	5426	650
893	5432	644
894	5437	637
895	5443	631
896	5448	625
897	5454	619
898	5459	613
899	5465	607
900	5470	601
901	5476	595
902	5482	588
903	5487	582
904	5492	576
905	5498	570
906	5503	564
907	5509	558
908	5514	552
909	5520	545
910	5525	539
911	5531	533
912	5536	527
913	5542	521
914	5547	515
915	5553	509
916	5559	503
917	5564	497
918	5570	490
919	5575	484
920	5580	478
921	5586	472
922	5591	466
923	5597	460
924	5602	454
925	5608	448
926	5613	442
927	5619	436
928	5625	429
929	5630	423
930	5635	417
931	5641	411
932	5646	405
933	5652	399
934	5657	393
935	5663	387
936	5668	381
937	5674	375
938	5680	369
939	5685	362
940	5691	356
941	5697	350
942	5702	344
943	5708	338
944	5713	332
945	5719	326
946	5725	320
947	5731	314
948	5736	308
949	5742	302
950	5748	296
951	5754	290
952	5759	284
953	5764	277
954	5770	271
955	5776	265
956	5781	259
957	5787	253
958	5793	247
959	5799	241
960	5805	235
961	5811	229
962	5817	223
963	5822	217
964	5828	211
965	5834	205
966	5840	199
967	5845	193
968	5851	187
969	5857	181
970	5862	175
971	5868	169
972	5874	163
973	5880	156
974	5886	150
975	5891	144
976	5897	138
977	5902	132
978	5908	126
979	5914	120
980	5919	114
981	5925	108
982	5930	102
983	5935	96
984	5941	90
985	5947	84
986	5952	78
987	5958	72
988	5963	66
989	5969	60
990	5974	54
991	5980	48
992	5985	42
993	5991	36
994	5997	30
995	6002	24
996	6008	18
997	6014	12
998	6020	6
999	6025	0
