iter	MultiClass
509	0.2527153708
510	0.2525558719
511	0.2523640256
512	0.2521388538
513	0.2520290686
514	0.2518673064
515	0.2516761053
516	0.2514577547
517	0.2511997271
518	0.2510708278
519	0.2508577
520	0.2506287037
521	0.2503326272
522	0.2500756401
523	0.2499616284
524	0.2496968977
525	0.2494709911
526	0.2493704247
527	0.2491569442
528	0.2488131723
529	0.2487037468
530	0.2484384021
531	0.2483193661
532	0.2481998227
533	0.2478959796
534	0.2476893036
535	0.2475379881
536	0.2473879525
537	0.2472744149
538	0.2471386566
539	0.2470399866
540	0.2468817008
541	0.24660124
542	0.2463402855
543	0.2460388052
544	0.2458908806
545	0.2454862997
546	0.2453529625
547	0.2452477548
548	0.2450199813
549	0.2447454517
550	0.2444731931
551	0.2442952328
552	0.2441602922
553	0.2439865631
554	0.2435581879
555	0.2433804458
556	0.2432029031
557	0.242896914
558	0.2427220406
559	0.2423332346
560	0.2420088785
561	0.2417515794
562	0.2414026072
563	0.2412253848
564	0.2411060126
565	0.2410651609
566	0.2410208555
567	0.2408907856
568	0.2408479929
569	0.2405448004
570	0.2402664625
571	0.2400793108
572	0.2398676465
573	0.2397059558
574	0.239575209
575	0.2392676189
576	0.2391354465
577	0.2388830382
578	0.2388113886
579	0.2385921194
580	0.2384456515
581	0.2383182611
582	0.2381521985
583	0.2379338526
584	0.2377851269
585	0.2376108453
586	0.2374716528
587	0.2373375819
588	0.2371685984
589	0.2370377806
590	0.2368110503
591	0.2366559731
592	0.2364554035
593	0.2363236963
594	0.2361484898
595	0.2360615028
596	0.2359237057
597	0.2357740431
598	0.2356706001
599	0.235465905
600	0.2353663109
601	0.2349308825
602	0.234735479
603	0.2345786451
604	0.2343820709
605	0.2342069006
606	0.2339499413
607	0.233862514
608	0.2336585795
609	0.2335793698
610	0.2332875436
611	0.2331663273
612	0.2329851742
613	0.2328239757
614	0.2325917235
615	0.2323665672
616	0.2321737156
617	0.2320299735
618	0.2318821871
619	0.2316101164
620	0.2314812611
621	0.2313246395
622	0.2309209849
623	0.2308469441
624	0.23065462
625	0.230576013
626	0.2304964468
627	0.2303141437
628	0.2300783724
629	0.2299123009
630	0.2297308475
631	0.2295924332
632	0.2294036442
633	0.2290847287
634	0.2289554125
635	0.228887088
636	0.2287966491
637	0.2286771681
638	0.2285456513
639	0.2282773271
640	0.2280365381
641	0.2278278083
642	0.2277023627
643	0.2276480322
644	0.2275373237
645	0.2273680333
646	0.2271611477
647	0.2268441957
648	0.2266091455
649	0.2264296535
650	0.2262729881
651	0.2261408343
652	0.2260093175
653	0.2258352969
654	0.2257149929
655	0.2255087457
656	0.2252892811
657	0.2251369609
658	0.2250091983
659	0.22492708
660	0.2248036612
661	0.224589743
662	0.2241976811
663	0.224068321
664	0.2237924168
665	0.2236447803
666	0.2233740815
667	0.2232628153
668	0.2230648987
669	0.2228814843
670	0.2227310358
671	0.22254083
672	0.222390141
673	0.2220899616
674	0.2219648766
675	0.2218389218
676	0.2216512597
677	0.2215338454
678	0.2213844442
679	0.2212287781
680	0.2210576652
681	0.2206689764
682	0.2205122935
683	0.2203765193
684	0.2202314881
685	0.2201407171
686	0.2200123393
687	0.2198580743
688	0.219773522
689	0.2196407578
690	0.219501594
691	0.2193350361
692	0.2191086744
693	0.2189160038
694	0.2187858481
695	0.2186608558
696	0.2185247507
697	0.2184060016
698	0.2182651365
699	0.2180645337
700	0.2179684314
701	0.2177119426
702	0.2174010974
703	0.2171690023
704	0.216983607
705	0.2167172084
706	0.2166163856
707	0.2165512986
708	0.2163051979
709	0.2161629941
710	0.2160648783
711	0.2159310501
712	0.2156758584
713	0.2153996022
714	0.2152636621
715	0.2151427652
716	0.2150422879
717	0.2149245398
718	0.2148644257
719	0.2145994503
720	0.214515656
721	0.2143953664
722	0.2143083427
723	0.2141306303
724	0.2140281795
725	0.2139736731
726	0.2138759157
727	0.2136925673
728	0.2134893508
729	0.2134214841
730	0.2131982857
731	0.2130765331
732	0.2128636569
733	0.2127261883
734	0.2125268042
735	0.2123168315
736	0.2121315862
737	0.2120427728
738	0.2119209867
739	0.2117900267
740	0.2115499293
741	0.2113902571
742	0.2111858442
743	0.2110260416
744	0.2108432248
745	0.210730355
746	0.2106075122
747	0.210468283
748	0.2103578734
749	0.2101659415
750	0.2099256127
751	0.2097204114
752	0.2095740975
753	0.209478216
754	0.2093758399
755	0.2092077609
756	0.2090693462
757	0.2087948747
758	0.2087238755
759	0.2086265926
760	0.2085874179
761	0.2083816072
762	0.2082657643
763	0.2081447193
764	0.2079823517
765	0.2078705245
766	0.2075807026
767	0.2074205266
768	0.2073485898
769	0.2071175868
770	0.2068499557
771	0.2067050513
772	0.2065540096
773	0.206453129
774	0.2062889071
775	0.2061936385
776	0.2059934655
777	0.2058744163
778	0.2055384747
779	0.2053994454
780	0.2052778769
781	0.2051283726
782	0.2049714907
783	0.2047639007
784	0.2046745365
785	0.2044945248
786	0.2043298324
787	0.2041913637
788	0.203936293
789	0.2037610428
790	0.2036059633
791	0.2034870302
792	0.2033475503
793	0.2031677414
794	0.2031021072
795	0.2030450844
796	0.2028529133
797	0.2027100575
798	0.2025709288
799	0.2023776705
800	0.2022477993
801	0.2020731213
802	0.2018933126
803	0.201841157
804	0.2017690464
805	0.2017226711
806	0.2015058636
807	0.2012563363
808	0.2011301132
809	0.2008868134
810	0.2007842685
811	0.2005853587
812	0.2004188184
813	0.2002996873
814	0.2002478288
815	0.2001256285
816	0.2000167921
817	0.1997861962
818	0.1996213395
819	0.1995314357
820	0.1992946722
821	0.1991427909
822	0.1990733269
823	0.1989409371
824	0.1987955939
825	0.1986915404
826	0.1984576531
827	0.198367926
828	0.1981571136
829	0.197995712
830	0.1978881011
831	0.1977525066
832	0.1975517409
833	0.1974117044
834	0.1973088252
835	0.1972340075
836	0.1971528068
837	0.1969503597
838	0.196895752
839	0.1967165539
840	0.1965791892
841	0.1964054416
842	0.1963154583
843	0.1961782069
844	0.196007296
845	0.1959082276
846	0.1957839052
847	0.1956902279
848	0.1955831184
849	0.1953666286
850	0.1951777842
851	0.1949425
852	0.1948482519
853	0.1947455872
854	0.1944765892
855	0.194336976
856	0.1942378824
857	0.194163208
858	0.1939794062
859	0.1939007771
860	0.1938489135
861	0.1937233144
862	0.1936236693
863	0.1934645813
864	0.1933256906
865	0.1932445133
866	0.193059926
867	0.1929074903
868	0.1927567638
869	0.1925008823
870	0.1922802804
871	0.1921727385
872	0.1920809306
873	0.1918460433
874	0.1915906354
875	0.1914746806
876	0.1913410617
877	0.1911840973
878	0.1910823182
879	0.1909933349
880	0.1908157244
881	0.1906727571
882	0.1906059084
883	0.1904592391
884	0.1903577135
885	0.1902786644
886	0.1901908971
887	0.1900805836
888	0.1899818435
889	0.1898324977
890	0.1895162034
891	0.18943211
892	0.1891564818
893	0.1890459432
894	0.1888592406
895	0.1886773091
896	0.1885825872
897	0.1884958971
898	0.1883839423
899	0.1882863223
900	0.1880155045
901	0.1878935667
902	0.1877936162
903	0.1876905875
904	0.1875848211
905	0.187325943
906	0.1872034476
907	0.1870565311
908	0.1868826641
909	0.1866902955
910	0.1865944281
911	0.1863930293
912	0.186206743
913	0.1861189635
914	0.1859482002
915	0.185814493
916	0.1856928704
917	0.1855436386
918	0.1853722402
919	0.1852790368
920	0.185114668
921	0.1850455275
922	0.1848197421
923	0.1847337966
924	0.1846135271
925	0.1844708185
926	0.1842813
927	0.1840778555
928	0.1839571028
929	0.183875088
930	0.1836747284
931	0.1834543591
932	0.1833232738
933	0.1832237867
934	0.1830686977
935	0.1829152913
936	0.1827500151
937	0.182600758
938	0.1825137932
939	0.1824412884
940	0.1822309947
941	0.1821331281
942	0.1820049197
943	0.1818002502
944	0.1817489333
945	0.1815061132
946	0.1813388332
947	0.1811064247
948	0.1810275947
949	0.1808785529
950	0.1806409984
951	0.1805071167
952	0.1803137107
953	0.1802110419
954	0.18011169
955	0.1797868316
956	0.1796469409
957	0.179501432
958	0.1794073757
959	0.1793425156
960	0.1792041788
961	0.1790426031
962	0.1787510529
963	0.1786656417
964	0.1786084287
965	0.1784244859
966	0.1782765946
967	0.1781878298
968	0.1780566945
969	0.177911306
970	0.1777623355
971	0.1776624473
972	0.1775209472
973	0.1774218003
974	0.1773154787
975	0.1772333143
976	0.1771374099
977	0.1770060239
978	0.1768872912
979	0.1766453861
980	0.1764969816
981	0.1764448915
982	0.1762800319
983	0.1761603735
984	0.1760641995
985	0.1758234482
986	0.1757486362
987	0.1756615801
988	0.1754371879
989	0.1753062005
990	0.1752220456
991	0.175100529
992	0.1749560957
993	0.174770487
994	0.174605606
995	0.1744321041
996	0.1743553368
997	0.1742298508
998	0.1740980823
999	0.1740168245
